ts,pid,tid,comm,fname,dfd,flags,event
827885967129,4067,4067,python3,/sys/devices/system/cpu/online,-100,524288,enter_openat
827886575657,4069,4069,python3,/proc/self/fd,-100,524288,enter_openat
827886666314,4069,0,python3,,,,exit_openat
827888041574,4069,4069,insmod,/etc/ld.so.cache,-100,524288,enter_openat
827888124982,4069,0,insmod,,,,exit_openat
827888206430,4069,4069,insmod,/lib/x86_64-linux-gnu/libzstd.so.1,-100,524288,enter_openat
827888281415,4069,0,insmod,,,,exit_openat
827888442246,4067,4067,python3,/sys/kernel/debug/tracing/enabled_functions,-100,524288,enter_openat
827888452596,4069,4069,insmod,/lib/x86_64-linux-gnu/liblzma.so.5,-100,524288,enter_openat
827888531698,4069,0,insmod,,,,exit_openat
827888553103,4067,0,python3,,,,exit_openat
827888636316,4069,4069,insmod,/lib/x86_64-linux-gnu/libcrypto.so.3,-100,524288,enter_openat
827888722233,4069,0,insmod,,,,exit_openat
827888840849,4069,4069,insmod,/lib/x86_64-linux-gnu/libc.so.6,-100,524288,enter_openat
827888915103,4069,0,insmod,,,,exit_openat
827889599059,4069,4069,insmod,/lib/modules/6.8.0-90-generic/modules.softdep,-100,524288,enter_openat
827889709882,4069,0,insmod,,,,exit_openat
827889879709,4069,4069,insmod,/proc/cmdline,-100,524288,enter_openat
827889979809,4069,0,insmod,,,,exit_openat
827890089416,4069,4069,insmod,/root/analyzer/../../home/vboxuser/files/brokepkg/brokepkg.ko,-100,524288,enter_openat
827890163684,4069,0,insmod,,,,exit_openat
827894475500,4069,0,insmod,,,,set_memory_ro
827894654044,4069,0,insmod,,,,set_memory_ro
827894844757,4069,0,insmod,,,,set_memory_ro
827895131314,4069,0,insmod,,,,set_memory_ro
827895413506,4069,0,insmod,,,,module_load
827895511248,4069,0,insmod,,,,kallsyms_lookup
827905833170,415,415,systemd-oomd,/proc/meminfo,-100,524288,enter_openat
827906046246,415,0,systemd-oomd,,,,exit_openat
827907176009,4069,0,insmod,,,,kallsyms_lookup
827917404558,4069,0,insmod,,,,kallsyms_lookup
827920224817,4069,0,insmod,,,,kallsyms_lookup
827927361368,4069,0,insmod,,,,kallsyms_lookup
827935465200,4069,0,insmod,,,,kallsyms_lookup
827937447663,4069,0,insmod,,,,kallsyms_lookup
827943128089,4069,0,insmod,,,,kallsyms_lookup
827959785641,4069,0,insmod,,,,kallsyms_lookup
827962156831,4069,0,insmod,,,,set_memory_ro
827962607647,211,211,systemd-journal,/run/log/journal/84385f0951954d4e9269691730713c0f/system.journal,-100,526338,enter_openat
827962801761,4069,0,insmod,,,,set_memory_ro
827964621336,211,0,systemd-journal,,,,exit_openat
827964644685,253,253,systemd-udevd,/sys/module/brokepkg/uevent,-100,524544,enter_openat
827964773304,253,0,systemd-udevd,,,,exit_openat
827964865373,253,253,systemd-udevd,/run/udev/queue,-100,2752512,enter_openat
827965000874,253,0,systemd-udevd,,,,exit_openat
827965156499,253,253,systemd-udevd,/run/udev/queue,-100,524481,enter_openat
827965246166,253,0,systemd-udevd,,,,exit_openat
827965529315,4069,0,insmod,,,,set_memory_ro
827965702774,4070,4070,systemd-udevd,/proc/self/oom_score_adj,-100,524545,enter_openat
827965758663,4069,0,insmod,,,,set_memory_ro
827965801790,4070,0,systemd-udevd,,,,exit_openat
827965955166,4069,0,insmod,,,,set_memory_ro
827965982503,4070,4070,systemd-udevd,/sys/module/brokepkg/uevent,-100,524544,enter_openat
827966133499,4070,0,systemd-udevd,,,,exit_openat
827966210129,4070,4070,systemd-udevd,/run/udev/data/+module:brokepkg,-100,524288,enter_openat
827966286354,4070,0,systemd-udevd,,,,exit_openat
827966676476,4070,4070,systemd-udevd,/,-100,2686976,enter_openat
827966783082,4070,0,systemd-udevd,,,,exit_openat
827966861185,4070,4070,systemd-udevd,sys,6,2752512,enter_openat
827966936141,4070,0,systemd-udevd,,,,exit_openat
827967037240,4070,4070,systemd-udevd,class,15,2752512,enter_openat
827967169975,4070,0,systemd-udevd,,,,exit_openat
827967245901,4070,4070,systemd-udevd,dmi,6,2752512,enter_openat
827967319719,4070,0,systemd-udevd,,,,exit_openat
827967420749,4070,4070,systemd-udevd,id,15,2752512,enter_openat
827967495974,4070,0,systemd-udevd,,,,exit_openat
827967612013,4070,4070,systemd-udevd,..,15,2752512,enter_openat
